序号,电影类别,编码,公映证号,片名,第一出品单位,公示批次链接,公示名称,公示日期
6,国产故事片,1100512020,39,旦后,幕光（厦门）影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
7,国产故事片,1100592020,47,璀璨时光,罗山县文琴影视工作室,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
8,国产故事片,1100612020,49,非凡父子,河南正和独立影视文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
9,国产故事片,1100872020,68,数字猎凶者,山东杰百旺影视文化有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
10,国产故事片,1100762020,72,有梦就飞,无锡春波文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
11,国产故事片,1100822020,81,生死坚守,珠江电影集团有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
12,国产故事片,1101032020,89,爱你是我做过最好的事,电影频道节目中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
13,国产故事片,1101092020,94,爱情拯救联盟,河南中楚文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
14,国产故事片,1101112020,97,永不沉默,内江建兴影视文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
15,国产故事片,1102152020,99,再见吧！少年,爱奇艺影业（上海）有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
16,国产故事片,1101122020,100,守望相思树,内蒙古芊芊文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
17,国产故事片,1101202020,109,围墙,北京声影拾光影视文化有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
18,国产故事片,1101222020,112,无约而至,黑白映像文化传媒（北京）有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
19,国产故事片,1104672020,118,莲花池,云南花漫云岭影视策划有限责任公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
20,国产故事片,1101382020,119,烈焰危情,深圳市宣影影视文化有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
21,国产故事片,1101422020,123,匹夫英雄传,甘肃修为影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
22,国产故事片,1101452020,126,密案1922,佛山至臻影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
23,国产故事片,1101532020,134,欲望的黑洞,广州鸿图影视传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
24,国产故事片,1101562020,137,黎乡遇见你,海南椰云数字影视动漫有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
25,国产故事片,1101592020,141,榆社破击,河北缔杰影视传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
26,国产故事片,1101692020,143,丽人保镖之无法沉默,电影频道节目中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
27,国产故事片,1101702020,144,雪耻杀,电影频道节目中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
28,国产故事片,1101712020,145,光芒四射,电影频道节目中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
29,国产故事片,1101722020,146,丽人保镖之歧路天使,电影频道节目中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
30,国产故事片,1101742020,148,猎心之迷毒之罪,公安部金盾影视文化中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
31,国产故事片,1101792020,153,千里追凶,陕西广电影视文化产业发展有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
32,国产故事片,1101812020,155,征迁,安徽淮汉文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
33,国产故事片,1101822020,156,夜守,元广影视传媒（上海）有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
34,国产故事片,1101902020,164,混元灵珠,永康艺洲影视文化有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
35,国产故事片,1101922020,167,双水村里枣花香,深圳市熙合文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
36,国产故事片,1101932020,168,八义村的半农时代,江苏东峰文化发展有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
37,国产故事片,1101942020,169,特殊角色,北京心动映画文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
38,国产故事片,1101962020,171,父子变形记,电影频道节目中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
39,国产故事片,1101972020,173,云知道,北京共享星光文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
40,国产故事片,1101982020,174,丽人保镖之双面律师,电影频道节目中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
41,国产故事片,1102082020,184,镜世界,河南电影电视制作集团影视发行有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
42,国产故事片,1102172020,187,日照妮儿,日照市东阳文化艺术有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
43,国产故事片,1102232020,200,爸爸是个农民工,山东鲲鹏影视文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
44,国产故事片,1102262020,203,疯狂艺术村,海南天宇乐可文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
45,国产故事片,1102282020,205,我为你喝彩,佛山立新影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
46,国产故事片,1102292020,206,冏样喜事,湖南昭宁影视传媒有限责任公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
47,国产故事片,1102332020,210,一声承诺,济南市蟠龙梆子文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
48,国产故事片,1102392020,216,幸福路上,河南慧创影业股份有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
49,国产故事片,1102402020,217,生死下一秒,海南时代风采影视文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
50,国产故事片,1102532020,224,铜皮铁骨方世玉,北京炫丰影视文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
51,国产故事片,1102562020,227,灌篮高手的契约,北京大有人和文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
52,国产故事片,1102572020,229,天道王,北京缘世达国际影视文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
53,国产故事片,1102602020,232,天才雀妈,佛山和象影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
54,国产故事片,1102632020,236,扶贫主任,河北广电影视文化有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
55,国产故事片,1102662020,239,巩仙,北京东方飞云国际影视股份有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
56,国产故事片,1102672020,240,海大鱼,北京东方飞云国际影视股份有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
57,国产故事片,1102842020,245,大圣重生之斗战逆天,环球壹线（北京）影视文化有限公司重庆分公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
58,国产故事片,1102912020,250,诡婳狐,北京东方飞云国际影视股份有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
59,国产故事片,1102722020,252,失独,电影频道节目中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
60,国产故事片,1102692020,255,高家台,山东新农村数字电影院线有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
61,国产故事片,1103142020,281,燕赤霞猎妖传,北京天之映像影视传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
62,国产故事片,1103162020,285,瑶岗1949,安徽军影影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
63,国产故事片,1103392020,315,包公三勘蝴蝶梦（评剧）,天津滨海国际影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
64,国产故事片,1103782020,333,我和我的家乡,北京京西文化旅游股份有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
65,国产故事片,1103792020,336,一点就到家,阿里巴巴影业（北京）有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
66,国产故事片,1100062019,6,一秒钟,北京欢喜首映文化有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
67,国产故事片,1105292019,475,最佳导演,无锡贵映金画文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
68,国产故事片,1105932019,532,17岁的轻骑兵,中青新影文化传媒无锡有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
69,国产故事片,1106492019,580,少年与海,上海欢十喜文化有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
70,国产故事片,1107032019,631,伊比利亚的派对,西安七武士影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
71,国产故事片,1107242019,632,九条命,峨眉电影集团有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
72,国产故事片,1108052019,717,妈妈一样的爱,荣成市大天鹅文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
73,国产故事片,1108312019,745,我为兄弟狂,定州市天泰文化传媒有限责任公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
74,国产故事片,1108542019,765,喜宝,北京轴心影视文化有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
75,国产故事片,1108562019,767,梦境人生,华梦宇宙（上海）影视文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
76,国产故事片,1108622019,773,火山之恋,太原长天大云影视文化艺术有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
77,国产故事片,1108822019,791,一些往事,从心出发影视文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
78,国产故事片,1108922019,805,失恋反攻队,中影寰亚音像制品有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
79,国产故事片,1109022019,814,龙虎劫之激战归来,重庆两点文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
80,国产故事片,1109292019,830,舞动我青春,志博云天（北京）影视文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
81,国产故事片,1109362019,838,剩女小爱,佛山市创意生活文化有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
82,国产故事片,1109402019,841,宋庄战斗,河南电影电视制作集团有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
83,国产故事片,1109212019,842,猎心之血亲,公安部金盾影视文化中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
84,国产故事片,1109452019,848,烽火连少年,北京紫微星河影视文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）,2020-10-09
1,国产故事片,1100302020,17,猎影追凶,公安部金盾影视文化中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
2,国产故事片,1100312020,19,爱情呼叫等待,深圳市迅捷文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
3,国产故事片,1100332020,21,狄仁杰之幻涅魔蛾,广州中誉影视传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
4,国产故事片,1100372020,25,精灵闺蜜,北京忆光年影视文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
5,国产故事片,1100432020,31,三块石,北京应昊影视有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
6,国产故事片,1100522020,40,追爱茶卡,华诚电影电视数字节目有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
7,国产故事片,1100562020,44,素味平生,上海耐中文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
8,国产故事片,1100572020,45,白眉大侠之展小玉,天津辉煌影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
9,国产故事片,1100582020,46,国宝险途,山西作家影视艺术制作有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
10,国产故事片,1100672020,55,再见，少年,大地时代文化传播（北京）有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
11,国产故事片,1100832020,56,商圣范蠡之雄图霸业,河南电视传媒发展有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
12,国产故事片,1100692020,59,巅峰人生,北京合德宝峰文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
13,国产故事片,1100742020,65,闯入17天,广州市加叔影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
14,国产故事片,1100892020,70,红色警戒,福建达康影视投资有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
15,国产故事片,1100772020,73,枪上膛,河北守敬文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
16,国产故事片,1100942020,80,花这样红,北京嘉映春天影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
17,国产故事片,1101642020,95,大圣,浙江黑奥影视文化有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
18,国产故事片,1101102020,96,杰米拉,新疆世纪山河文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
19,国产故事片,1101132020,101,老师，别哭,珠江电影集团有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
20,国产故事片,1101142020,102,误入青春,北京天伦映画影视传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
21,国产故事片,1101152020,103,关机,安乔影业（广州）文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
22,国产故事片,1101162020,104,伏魔济公,陕西广电影视文化产业发展有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
23,国产故事片,1101232020,114,富一代,麦丹影视（上海）有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
24,国产故事片,1101412020,122,猎枪,北京晓晓未来文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
25,国产故事片,1101492020,130,丽人保镖之危情直播,电影频道节目中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
26,国产故事片,1101582020,135,八拍,泰然众合影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
27,国产故事片,1101802020,154,幸福之子,深圳市光影大象文化有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
28,国产故事片,1101842020,158,家有婆媳（豫剧）,河南宙途文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
29,国产故事片,1101852020,159,我的野蛮女掌门,甘肃修为影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
30,国产故事片,1101882020,162,四平青年之三傻罪途,环球壹线（北京）影视文化有限公司重庆分公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
31,国产故事片,1101912020,166,我的女友是机器人,宁洋影业（佛山）有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
32,国产故事片,1102032020,179,橙妹儿的时代,艺真文化产业集团有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
33,国产故事片,1102052020,181,疯狂的足球,山东泰岳兄弟影视有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
34,国产故事片,1102182020,189,秀美人生,广西文化产业集团有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
35,国产故事片,1102102020,190,猎妖记,北京东方飞云国际影视股份有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
36,国产故事片,1102112020,191,妖手摧花,北京东方飞云国际影视股份有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
37,国产故事片,1102122020,192,人鱼缚,北京东方飞云国际影视股份有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
38,国产故事片,1102192020,196,疯狂人字拖,湖南星图汇梦影视文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
39,国产故事片,1102242020,201,回马,兰州浩发影视传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
40,国产故事片,1102412020,218,捍战2,黑龙江鱼儿跳跳文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
41,国产故事片,1102592020,231,白云生处,武汉春晓文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
42,国产故事片,1101152019,112,读心者之深海,天津聚幕文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
43,国产故事片,1103202019,295,平静,上海欢十喜文化有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
44,国产故事片,1104102019,372,雾中的剑旗,立山文化传媒（北京）有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
45,国产故事片,1105012019,447,进军和田,新疆生产建设兵团第十四师广播电视台,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
46,国产故事片,1106312019,548,天堂之猎,海口新光映画文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
47,国产故事片,1106452019,549,销声匿迹,海口新光映画文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
48,国产故事片,1106532019,590,气·球,北京盛唐时代文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
49,国产故事片,1106792019,612,日光之下,上海淘票票影视文化有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
50,国产故事片,1106992019,626,路遥归梦,北京大壳文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
51,国产故事片,1107102019,640,山城妈妈,重庆效能影视文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
52,国产故事片,1107802019,667,再见汪先森,西安电影制片厂有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
53,国产故事片,1107612019,684,神剑奇缘,四川小浪影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
54,国产故事片,1108172019,730,你在我的世界里,青岛浪涛文化艺术中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
55,国产故事片,1108422019,753,回南天,宝贵映画（深圳）影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）,2020-09-02
