公示批次链接,名称缩减
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=01608cb3b41103a2402881a6604a2c45&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年12月（上旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=01605902a4883ec3402881a6604a2c45&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年11月（下旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0160301a7fcf0949402881a65b8b3489&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年11月（中旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015fe6b572324160ff8080815fb351f3&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年11月（上旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015fbf1eaca0467d402881a65b8b3489&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年10月（下旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015f813dc3cc6c6d402881a65b8b3489&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年10月（中旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015f3358ee467627402881a65b8b3489&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年09月（下旬）、10月（上旬）全国电影剧...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015ec7c9597a249e402881a65b8b3489&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年09月（中旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015ea2a11f2b61fa402881a65b8b3489&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年09月（上旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015e757e62792690402881a65b8b3489&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年08月（下旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015e5685b42655cf402881a65b8b3489&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年08月（中旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015e0d4f425d3f9d402881a65b8b3489&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年08月（上旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015de9f7e5415d78402881a65b8b3489&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年07月（下旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015d982dde625805402881a65b8b3489&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年07月（中旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015d77d0b11a03b8402881a65b8b3489&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年07月（上旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015d2bffc87427ae402881a65b8b3489&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年06月（下旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015cf72ca439695b402881a65b8b3489&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年06月（中旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015cc8cd73b06f4e402881a65b8b3489&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年06月（上旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015ca5e163741684402881a65b8b3489&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年05月（下旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015c5dbd8f9a58c0402881a65b8b3489&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年05月（中旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015c1630b8916017402881a65b8b3489&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年05月（上旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015beafc051f1b1b402881a65b8b3489&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年04月（下旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015bc76194c65c3f402881a65b8b3489&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年04月（中旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015b806b2a2e7bd4402881a659a4b9fa&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年04月（上旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015b7b22322b33a2402881a659a4b9fa&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年03月（下旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015afe3a850421c2402881a659a4b9fa&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年03月（中旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015aefa10878145b402881a659a4b9fa&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年03月（上旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015ada206c414e0f402881a659a4b9fa&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年02月（下旬）全国电影剧本（梗概）备案、...
